,species,kind,spot,cpgi1,cpgi2,prdm9,crossover,cpgi1_cond,cpgi2_cond,prdm9_cond,crossover_cond
811,corn,463,hotspots,0.03406074904158066,0.09619637328615657,0.09450095827804807,0.0010851871947911015,0.03366021733368672,0.09671436142024377,0.09406018591460533,0.0009904258831297458
812,corn,464,coldspots,0.045414332055440876,0.11241338640719446,0.10061919504643962,0.001550267421130145,0.04484188698807672,0.111427831044312,0.10102659822678488,0.0008504434455108735
813,corn,464,hotspots,0.03782070185785904,0.10201975527052927,0.10614772224679346,0.0006976203395085652,0.038563477338987545,0.10254372019077901,0.09910193792342839,0.0004952129415648729
814,corn,465,coldspots,0.0460041285756414,0.11130768096712369,0.10312546071060003,0.0013177273079606232,0.048859512700881284,0.11259393625291526,0.1009099393373775,0.001336411128659944
815,corn,465,hotspots,0.03634621055735771,0.09995577178239717,0.09936606221435942,0.0013177273079606232,0.038563477338987545,0.10055643879173291,0.09342996691350244,0.0013205678441729944
816,corn,466,coldspots,0.043718667059864345,0.1172047766475011,0.1017249004865104,0.0010851871947911015,0.0475635044064282,0.12140450894013993,0.10557629491367242,0.0009719353662981412
817,corn,466,hotspots,0.03848422294308464,0.10017691287041132,0.09848149786230281,0.0009301604526780869,0.038033395176252316,0.09883412824589295,0.0961083976681897,0.0008253549026081215
818,corn,467,coldspots,0.04305514597463875,0.1121922453191803,0.10563172637476043,0.0013177273079606232,0.04250907205806117,0.1145374449339207,0.10580961269248716,0.0012149192078726764
819,corn,467,hotspots,0.03590386316720731,0.0971546513342179,0.10061919504643962,0.0014727540500736377,0.03670818976941426,0.09432962374138845,0.10099259492673704,0.0018157807857378673
820,corn,468,coldspots,0.04393984075493955,0.11484593837535013,0.09826035677428867,0.0010851871947911015,0.04406428201140487,0.11401917595231925,0.09916005599626691,0.0008504434455108735
821,corn,468,hotspots,0.037894426422884105,0.10143004570249152,0.09914492112634528,0.0017052941632431594,0.04002120328650941,0.10294117647058823,0.09957460217425555,0.001650709805216243
822,corn,469,coldspots,0.04519315836036567,0.11447736989532656,0.10356774288662833,0.001240213936904116,0.048081907724209436,0.11648095361492615,0.10289314045730284,0.0012149192078726764
823,corn,469,hotspots,0.0394426422884105,0.1009140498304585,0.10032434026242076,0.0008526470816215797,0.03670818976941426,0.1036036036036036,0.09563573341736253,0.0004952129415648729
824,corn,47,coldspots,0.047183721616042465,0.11654135338345864,0.09958720330237358,0.0005425935973955507,0.04847071021254536,0.11194610002591344,0.09986000933271115,0.0006074596039363382
825,corn,47,hotspots,0.03700973164258331,0.09096270086982161,0.0979655019902698,0.001240213936904116,0.03631062814736284,0.08889772125066242,0.09878682842287695,0.0008253549026081215
826,corn,470,coldspots,0.04556178118549101,0.1146985109833407,0.09988205808639246,0.0010851871947911015,0.04419388284085018,0.11738792433272868,0.0970601959869342,0.0009719353662981412
827,corn,470,hotspots,0.03575641403715718,0.09774436090225563,0.1001031991744066,0.0009301604526780869,0.036178107606679034,0.09830418653948066,0.09815660942177407,0.0009904258831297458
828,corn,471,coldspots,0.044971984665290475,0.11558307533539731,0.10577915376676987,0.0010851871947911015,0.04471228615863142,0.11751749157812905,0.1077928138124125,0.0008504434455108735
829,corn,471,hotspots,0.03605131229725744,0.09251068848592069,0.10113519091847266,0.0011627005658476088,0.036178107606679034,0.09300476947535771,0.1068221206869387,0.00115549686365137
