,distance,mean,nature,kind,low_ci,high_ci
4,2000,0.004673287534517361,total,KmerZFs_7_1,0.004401517234754361,0.0049083655327205895
5,2500,0.0047406079193182335,total,KmerZFs_7_1,0.004377406830017694,0.005006108535955922
6,3000,0.004637664221660087,total,KmerZFs_7_1,0.004329068417835634,0.004905066976977906
7,3500,0.004634920398348443,total,KmerZFs_7_1,0.0042942399311847205,0.004950511972846815
8,4000,0.004652555545282919,total,KmerZFs_7_1,0.004333809111402021,0.0049175331014224425
9,4500,0.004563903453744273,total,KmerZFs_7_1,0.004280790895079183,0.004857679796291642
10,5000,0.004541419632420225,total,KmerZFs_7_1,0.004225748061067177,0.004828701715260772
11,5500,0.004703134527018627,total,KmerZFs_7_1,0.004371958916947387,0.004998435097908147
12,6000,0.004753989075394714,total,KmerZFs_7_1,0.004389882812717779,0.005047161517920919
13,6500,0.004745021065324346,total,KmerZFs_7_1,0.004413257863682456,0.005044912377639669
14,7000,0.004762157942980113,total,KmerZFs_7_1,0.0044463395957179885,0.005044679026289912
15,7500,0.004874704017260069,total,KmerZFs_7_1,0.004522222976378258,0.005178309444891341
16,8000,0.004841442290747301,total,KmerZFs_7_1,0.004479174121623916,0.005120587342021841
17,8500,0.004836571331717285,total,KmerZFs_7_1,0.004512234163714689,0.005142085296308378
18,9000,0.004840369130599868,total,KmerZFs_7_1,0.004502679052928252,0.00515467373122227
19,9500,0.00489718991608372,total,KmerZFs_7_1,0.004575344996647753,0.005267068127065509
0,0,0.006315950114566451,total,KmerZFs_8_0,0.005850636014885796,0.00682559359335437
1,500,0.005663361167968781,total,KmerZFs_8_0,0.005279248681918346,0.006059165722170799
2,1000,0.0051912662796919015,total,KmerZFs_8_0,0.0048613176018640816,0.005577296313419705
